session_id,date_time,source_ip,source_port,destination_ip,destination_port,bytes,packages_count
1.30691138763955e+16,2022-04-20 15:56:58.074,10.157.101.101,62624,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:58:03.065,10.157.101.101,62624,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 15:58:37.036,10.157.101.101,62667,10.253.199.186,443,1478,7
1.30691138763955e+16,2022-04-20 15:59:22.119,10.157.101.101,62667,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 16:00:19.065,10.157.101.101,62667,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 16:01:13.031,10.157.101.101,62667,10.253.199.186,443,845,3
1.30691138763955e+16,2022-04-20 16:02:18.061,10.157.101.101,62667,10.253.199.186,443,41,2
1.30691138763955e+16,2022-04-20 16:03:37.049,10.157.101.101,62667,10.253.199.186,443,20,1
1.30691138763955e+16,2022-04-20 16:03:37.051,10.157.101.101,62705,10.253.199.186,443,1617,9
1.30691138763955e+16,2022-04-20 16:04:23.169,10.157.101.101,62705,10.253.199.186,443,845,3
1.309792959536756e+16,2022-04-20 15:08:52.730,10.110.110.10,61746,10.253.192.100,80,72,3
1.309792959536756e+16,2022-04-20 15:08:55.954,10.110.110.10,61748,10.253.192.100,80,720,9
1.309792959536756e+16,2022-04-20 15:08:56.064,10.110.110.10,61750,10.253.192.100,80,3081,7
1.309792959536756e+16,2022-04-20 15:09:00.390,10.110.110.10,61756,10.253.192.100,80,72,3
1.309792959536756e+16,2022-04-20 15:09:03.585,10.110.110.10,61766,10.253.192.100,80,1699,6
1.3118933584778888e+16,2022-04-20 15:16:39.666,10.177.59.111,55016,10.253.192.24,10123,233,1
1.3118933584778888e+16,2022-04-20 15:31:39.662,10.177.59.111,55016,10.253.192.24,10123,233,1
1.3118933584778888e+16,2022-04-20 15:43:22.608,10.177.59.111,56061,10.253.192.24,80,3278,6
1.3118933584778888e+16,2022-04-20 15:44:22.667,10.177.59.111,56061,10.253.192.24,80,40,2
1.3118933584778888e+16,2022-04-20 15:46:39.656,10.177.59.111,55016,10.253.192.24,10123,233,1
1.3118933584778888e+16,2022-04-20 15:46:42.506,10.177.59.111,56140,10.253.192.24,80,9218,16
1.3118933584778888e+16,2022-04-20 16:01:39.648,10.177.59.111,55016,10.253.192.24,10123,233,1
1.3133240193459348e+16,2022-04-20 15:09:21.447,10.253.192.44,80,10.143.100.69,57342,32,1
1.3133240193459348e+16,2022-04-20 15:09:21.542,10.253.192.44,80,10.143.100.69,57342,437,5
1.3133240193459348e+16,2022-04-20 15:12:18.881,10.253.192.44,80,10.143.100.69,57402,6622,14
1.3133240193459348e+16,2022-04-20 15:13:49.650,10.253.192.44,10123,10.143.100.69,57866,20,1
1.3133240193459348e+16,2022-04-20 15:28:50.147,10.253.192.44,10123,10.143.100.69,57866,20,1
1.3133240193459348e+16,2022-04-20 15:43:50.628,10.253.192.44,10123,10.143.100.69,57866,20,1
1.3133240193459348e+16,2022-04-20 15:58:51.125,10.253.192.44,10123,10.143.100.69,57866,20,1
1.3135928121259008e+16,2022-04-20 15:18:08.729,10.178.82.9,49597,10.253.192.40,10123,233,1
1.3135928121259008e+16,2022-04-20 15:33:09.244,10.178.82.9,49597,10.253.192.40,10123,233,1
1.3135928121259008e+16,2022-04-20 15:44:42.055,10.178.82.9,60589,10.253.192.40,80,4339,7
1.3135928121259008e+16,2022-04-20 15:45:42.193,10.178.82.9,60589,10.253.192.40,80,20,1
1.3135928121259008e+16,2022-04-20 15:48:09.748,10.178.82.9,49597,10.253.192.40,10123,233,1
1.3135928121259008e+16,2022-04-20 15:50:43.709,10.178.82.9,60756,10.253.192.40,80,11354,15
1.3135928121259008e+16,2022-04-20 16:03:10.248,10.178.82.9,49597,10.253.192.40,10123,233,1
1.3137092011609116e+16,2022-04-20 15:27:29.796,10.253.254.244,88,10.135.121.7,63082,4498,9
1.3137092011609116e+16,2022-04-20 15:27:32.556,10.253.254.244,49695,10.135.121.7,135,276,5
1.3137092011609116e+16,2022-04-20 15:27:32.609,10.253.254.244,49700,10.135.121.7,445,92,4
1.3137092011609116e+16,2022-04-20 15:27:32.638,10.253.254.244,49701,10.135.121.7,445,5155,29
1.3137092011609116e+16,2022-04-20 15:35:27.690,10.253.254.244,88,10.135.121.7,63233,1558,5
1.3137092011609116e+16,2022-04-20 15:35:31.108,10.253.254.244,54725,10.135.121.7,135,296,6
1.3137092011609116e+16,2022-04-20 15:44:37.860,10.253.254.244,88,10.135.121.7,63406,4498,9
1.3137092011609116e+16,2022-04-20 15:44:39.454,10.253.254.244,49960,10.135.121.7,135,276,5
1.3147643912958796e+16,2022-04-20 15:10:15.608,10.253.192.24,10123,10.200.130.116,49646,20,1
1.3147643912958796e+16,2022-04-20 15:25:16.103,10.253.192.24,10123,10.200.130.116,49646,20,1
1.3147643912958796e+16,2022-04-20 15:40:16.628,10.253.192.24,10123,10.200.130.116,49646,20,1
1.3147643912958796e+16,2022-04-20 15:43:00.966,10.253.192.24,80,10.200.130.116,51456,449,5
1.3147643912958796e+16,2022-04-20 15:49:00.869,10.253.192.24,80,10.200.130.116,51473,3614,10
1.3147643912958796e+16,2022-04-20 15:55:17.123,10.253.192.24,10123,10.200.130.116,49646,20,1
1.3171440442417156e+16,2022-04-20 15:17:12.827,10.253.192.100,80,10.192.101.24,52827,28,1
1.3171440442417156e+16,2022-04-20 15:17:17.078,10.253.192.100,80,10.192.101.24,52829,4509,5
1.3171440442417156e+16,2022-04-20 15:17:17.654,10.253.192.100,80,10.192.101.24,52830,624,6
1.3171440442417156e+16,2022-04-20 15:17:22.139,10.253.192.100,80,10.192.101.24,52832,28,1
1.3171440442417156e+16,2022-04-20 15:17:25.598,10.253.192.100,80,10.192.101.24,52833,572,4
1.3186976773176092e+16,2022-04-20 15:14:34.302,10.253.254.244,88,10.178.115.25,63517,4498,9
1.3186976773176092e+16,2022-04-20 15:14:36.310,10.253.254.244,62184,10.178.115.25,135,276,5
1.3186976773176092e+16,2022-04-20 15:14:37.326,10.253.254.244,62201,10.178.115.25,445,72,3
1.3186976773176092e+16,2022-04-20 15:14:37.347,10.253.254.244,62204,10.178.115.25,445,4061,24
1.3186976773176092e+16,2022-04-20 15:14:37.566,10.253.254.244,62206,10.178.115.25,445,1767,10
1.3186976773176092e+16,2022-04-20 15:14:37.568,10.253.254.244,62207,10.178.115.25,445,1603,10
1.3186976773176092e+16,2022-04-20 15:14:37.570,10.253.254.244,62208,10.178.115.25,445,1323,8
1.3203192205774654e+16,2022-04-20 15:39:51.512,10.252.48.244,64476,10.253.199.27,80,2074,25
1.3203192205774654e+16,2022-04-20 15:39:52.547,10.252.48.244,64487,10.253.199.27,80,669,6
1.3203192205774654e+16,2022-04-20 15:39:52.548,10.252.48.244,64488,10.253.199.27,80,830,13
1.3203192205774654e+16,2022-04-20 15:39:52.551,10.252.48.244,64489,10.253.199.27,80,642,5
1.3203192205774654e+16,2022-04-20 15:39:52.552,10.252.48.244,64490,10.253.199.27,80,654,6
1.3203192205774654e+16,2022-04-20 15:39:52.554,10.252.48.244,64491,10.253.199.27,80,1874,12
1.3203192205774654e+16,2022-04-20 15:39:52.555,10.252.48.244,64492,10.253.199.27,80,1851,9
1.3203192205774654e+16,2022-04-20 15:39:52.636,10.252.48.244,64494,10.253.199.27,80,1807,12
1.3203192205774654e+16,2022-04-20 15:39:52.649,10.252.48.244,64496,10.253.199.27,80,3502,28
1.3203192205774654e+16,2022-04-20 15:39:52.723,10.252.48.244,64498,10.253.199.27,80,1994,12
1.3203192205774654e+16,2022-04-20 15:39:57.292,10.252.48.244,64509,10.253.199.27,80,1447,12
1.3203192205774654e+16,2022-04-20 15:39:57.296,10.252.48.244,64510,10.253.199.27,80,688,5
1.3203192205774654e+16,2022-04-20 15:39:57.306,10.252.48.244,64511,10.253.199.27,80,4716,30
1.3203192205774654e+16,2022-04-20 15:39:57.307,10.252.48.244,64512,10.253.199.27,80,2041,13
1.3203192205774654e+16,2022-04-20 15:39:57.315,10.252.48.244,64514,10.253.199.27,80,821,10
1.3203192205774654e+16,2022-04-20 15:39:57.325,10.252.48.244,64516,10.253.199.27,80,1539,7
1.3203192205774654e+16,2022-04-20 15:39:57.337,10.252.48.244,64518,10.253.199.27,80,717,6
1.3203192205774654e+16,2022-04-20 15:39:57.344,10.252.48.244,64520,10.253.199.27,80,750,7
1.3203192205774654e+16,2022-04-20 15:39:57.404,10.252.48.244,64522,10.253.199.27,80,918,5
1.3203192205774654e+16,2022-04-20 15:40:00.657,10.252.48.244,64530,10.253.199.27,80,715,5
1.3203192205774654e+16,2022-04-20 15:40:00.684,10.252.48.244,64537,10.253.199.27,80,2971,13
1.3203192205774654e+16,2022-04-20 15:40:00.685,10.252.48.244,64538,10.253.199.27,80,2244,8
1.3203192205774654e+16,2022-04-20 15:40:00.686,10.252.48.244,64539,10.253.199.27,80,2092,12
1.3203192205774654e+16,2022-04-20 15:40:00.686,10.252.48.244,64540,10.253.199.27,80,1706,10
1.3203192205774654e+16,2022-04-20 15:40:00.688,10.252.48.244,64541,10.253.199.27,80,1521,11
1.3203192205774654e+16,2022-04-20 15:40:00.689,10.252.48.244,64542,10.253.199.27,80,1370,7
1.3203192205774654e+16,2022-04-20 15:40:01.465,10.252.48.244,64544,10.253.199.27,80,867,9
1.3203192205774654e+16,2022-04-20 15:40:34.219,10.252.48.244,64607,10.253.199.27,80,2189,13
1.3203192205774654e+16,2022-04-20 15:40:40.992,10.252.48.244,64607,10.253.199.27,80,3677,28
1.3203192205774654e+16,2022-04-20 15:40:41.662,10.252.48.244,64619,10.253.199.27,80,760,8
1.3203192205774654e+16,2022-04-20 15:40:41.677,10.252.48.244,64622,10.253.199.27,80,737,7
1.3203192205774654e+16,2022-04-20 15:40:41.677,10.252.48.244,64621,10.253.199.27,80,740,7
1.3203192205774654e+16,2022-04-20 15:40:41.679,10.252.48.244,64623,10.253.199.27,80,4044,23
1.3203192205774654e+16,2022-04-20 15:40:41.680,10.252.48.244,64624,10.253.199.27,80,3082,31
1.3203192205774654e+16,2022-04-20 15:40:41.696,10.252.48.244,64626,10.253.199.27,80,5053,37
1.3203192205774654e+16,2022-04-20 15:40:41.697,10.252.48.244,64628,10.253.199.27,80,5490,34
1.3203192205774654e+16,2022-04-20 15:40:41.702,10.252.48.244,64630,10.253.199.27,80,2116,15
1.3203192205774654e+16,2022-04-20 15:40:45.945,10.252.48.244,64642,10.253.199.27,80,1997,10
1.3203192205774654e+16,2022-04-20 15:40:46.062,10.252.48.244,64644,10.253.199.27,80,811,8
1.3203192205774654e+16,2022-04-20 15:42:41.669,10.252.48.244,64642,10.253.199.27,80,40,2
1.3203192205774654e+16,2022-04-20 15:42:41.669,10.252.48.244,64630,10.253.199.27,80,40,2
1.3203192205774654e+16,2022-04-20 15:42:41.669,10.252.48.244,64644,10.253.199.27,80,40,2
1.3203192205774654e+16,2022-04-20 15:42:41.669,10.252.48.244,64623,10.253.199.27,80,40,2
1.320857147508798e+16,2022-04-20 15:55:10.036,10.159.148.171,60269,10.253.252.38,9400,10625,18
1.320857147508798e+16,2022-04-20 15:55:10.039,10.253.252.38,9400,10.159.148.171,60269,6993,17
1.320857147508798e+16,2022-04-20 15:56:50.621,10.159.148.171,60269,10.253.252.38,9400,40,2
1.320857147508798e+16,2022-04-20 15:56:50.621,10.253.252.38,9400,10.159.148.171,60269,20,1
1.3210009541733776e+16,2022-04-20 15:40:43.569,10.135.193.54,52982,10.253.252.89,9600,72,3
1.3210009541733776e+16,2022-04-20 15:40:43.569,10.253.252.89,9600,10.135.193.54,52982,28,1
1.3273524389177788e+16,2022-04-20 15:03:23.362,10.110.131.186,59913,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:04:04.497,10.110.131.186,59926,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:04:29.562,10.110.131.186,59936,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:05:16.621,10.110.131.186,60013,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:05:28.762,10.110.131.186,60021,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:06:11.802,10.110.131.186,60034,10.253.192.39,10123,1911,8
1.3273524389177788e+16,2022-04-20 15:06:23.983,10.110.131.186,60039,10.253.192.39,10123,1903,7
1.3273524389177788e+16,2022-04-20 15:07:13.082,10.110.131.186,60039,10.253.192.39,10123,40,2
